FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
a78248289bea10d8902b4263644ce0fc,Unassigned,NA,NA,NA,NA,NA,NA
189a0e3f2c2222c6d4006006f351da4b,Unassigned,NA,NA,NA,NA,NA,NA
e54af40f830432994ae2aeac5f76e04f,Unassigned,NA,NA,NA,NA,NA,NA
444e8b3123d6a8022b3789783e38a19e,Unassigned,NA,NA,NA,NA,NA,NA
ab177b43eebcb75ae6349a8afa235f3c,Unassigned,NA,NA,NA,NA,NA,NA
a7e7b4e5096f391524f77d36f211955b,Unassigned,NA,NA,NA,NA,NA,NA
a6cfe230175762cddb7b91684fda0d76,Unassigned,NA,NA,NA,NA,NA,NA
b64dbabd517173a40151779bd4ab45f0,Unassigned,NA,NA,NA,NA,NA,NA
98cfd42329526858c77349be1bea9aa2,Unassigned,NA,NA,NA,NA,NA,NA
44404ea2d892a1f7234df59fddc12a27,Unassigned,NA,NA,NA,NA,NA,NA
57598e5e346a118f251af3bf3c44de94,Unassigned,NA,NA,NA,NA,NA,NA
2d935cf5500716b2fb8c30365089d19a,Unassigned,NA,NA,NA,NA,NA,NA
441ad998895489a48b57e4762ea035a4,Unassigned,NA,NA,NA,NA,NA,NA
5301817062e0b3dfa709f1c7af5c9c33,Unassigned,NA,NA,NA,NA,NA,NA
4f018faac87a2d315ec8278786d86665,Unassigned,NA,NA,NA,NA,NA,NA
511ab10683766708a123afd660067c14,Unassigned,NA,NA,NA,NA,NA,NA
6a3d5bb3ee69d760deeab041ebaae589,Unassigned,NA,NA,NA,NA,NA,NA
b7612dd0eac277cef1f7a47a6c8d22f4,Unassigned,NA,NA,NA,NA,NA,NA
3fb3ccb11608f9a192172db62539ee4f,Unassigned,NA,NA,NA,NA,NA,NA
4e51634d8d032dd508a5fe1bc61462c5,Unassigned,NA,NA,NA,NA,NA,NA
1d483855d25a262c25d92b09242fa09c,Unassigned,NA,NA,NA,NA,NA,NA
e29b6cef6a6805b4625c2ab5a2606e66,Unassigned,NA,NA,NA,NA,NA,NA
9a74d4ac9a5fe61ec6b809eca648a76d,Unassigned,NA,NA,NA,NA,NA,NA
1114adff30e502551608274bfa052e31,Unassigned,NA,NA,NA,NA,NA,NA
2b4601fa1906bbdf5840267993b5e91e,Unassigned,NA,NA,NA,NA,NA,NA
a1c1e8b5c88617fc5028eb4d63776486,Unassigned,NA,NA,NA,NA,NA,NA
d20ef69edf8d0931169faec95eae4c3f,Unassigned,NA,NA,NA,NA,NA,NA
709435b6ba41765425bb400ae8fefe51,Unassigned,NA,NA,NA,NA,NA,NA
138bd30c9a0d4cb6da820b62d7962cf9,Unassigned,NA,NA,NA,NA,NA,NA
766b24631cf125a5ca1d7a14ef117f5c,Unassigned,NA,NA,NA,NA,NA,NA
3b943a9f8f7f3717bccd32a9ef6ab0d0,Unassigned,NA,NA,NA,NA,NA,NA
4317680b2e639d8cd84b8f6aebcbc438,Unassigned,NA,NA,NA,NA,NA,NA
9e1d89e962229bfc5676be86dc6ca91b,Unassigned,NA,NA,NA,NA,NA,NA
f6a4c7223cfbaf9ea7b7e15e23ec1dd2,Unassigned,NA,NA,NA,NA,NA,NA
e250bb768cf447ebda2f27aa2e99ecf0,Unassigned,NA,NA,NA,NA,NA,NA
c335aad96791962b94c3cd126ce3c3d7,Unassigned,NA,NA,NA,NA,NA,NA
716113c2e854651b79e4869a4b7e7741,Unassigned,NA,NA,NA,NA,NA,NA
30318cb044c3611da4d377a608e69098,Unassigned,NA,NA,NA,NA,NA,NA
d1c4db2ab0c2e2a7cdb31a67b2caac0b,Unassigned,NA,NA,NA,NA,NA,NA
1ac55ac94d09e1624446821409e6b116,Unassigned,NA,NA,NA,NA,NA,NA
eb021927e4c06940785350d3f97aae30,Unassigned,NA,NA,NA,NA,NA,NA
f187ac6488459f0ce122bdaf93892ccd,Unassigned,NA,NA,NA,NA,NA,NA
